playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.6422","null","null","402","402","null","null","0.0472","null","null","null","1.1919","0.15","5.8125","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1302","null","null","364","364","null","null","0.0782","null","null","null","1.9464","0","2.9148","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","12.161","null","null","85","85","null","null","1.114","null","null","null","14.4982","8.3406","3.9084","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","7.558","null","null","181","181","null","null","0.6355","null","null","null","11.1147","0.33","10.4145","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.5833","null","null","14","14","null","null","0.3628","null","null","null","20.186","16.914","3.8471","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","1.2868","null","null","350","350","null","null","0.0549","null","null","null","2.8873","0","2.9602","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","6.5962","null","null","197","197","null","null","1.0403","null","null","null","7.8136","3.6144","4.713","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.0639","null","null","34","34","null","null","0.4473","null","null","null","18.0801","12.472","3.1174","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.8901","null","null","112","112","null","null","0.146","null","null","null","11.6774","7.05","2.9188","null",
