playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.0945","null","null","339","339","null","null","0.0526","null","null","null","1.9601","0.11","4.8378","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.2221","null","null","222","222","null","null","0.0746","null","null","null","5.0167","3.0194","2.9948","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.6561","null","null","381","381","null","null","0.0608","null","null","null","1.2654","0","3.247","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","15.4987","null","null","26","26","null","null","0.3407","null","null","null","17.8678","12.52","6.9669","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.7929","null","null","308","308","null","null","0.3554","null","null","null","2.8492","0","3.5973","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","9.8936","null","null","72","72","null","null","0.6012","null","null","null","11.4436","5.6987","4.4313","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.676","null","null","5","5","null","null","0.8621","null","null","null","20.7071","18.2796","3.9945","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","4.2611","null","null","220","220","null","null","0.3279","null","null","null","5.9606","0.7509","4.2117","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.7062","null","null","22","22","null","null","0.192","null","null","null","17.7839","13.3016","2.7071","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","2.2364","null","null","289","289","null","null","0.0335","null","null","null","5.6309","0","6.3176","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","12.2685","null","null","39","39","null","null","0.5714","null","null","null","15.7635","8.49","5.7246","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","7.1389","null","null","138","138","null","null","0.1166","null","null","null","7.9123","0.0853","4.8597","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","6.5479","null","null","154","154","null","null","0.0975","null","null","null","6.9644","5.2876","6.527","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","8.3373","null","null","105","105","null","null","0.2666","null","null","null","11.0075","5.17","6.7534","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","3.9222","null","null","230","230","null","null","0.0458","null","null","null","8.6388","0","10.7932","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
