playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","3.4138","null","null","251","251","null","null","0.1133","null","null","null","4.6235","1.94","5.693","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","8.3768","null","null","143","143","null","null","0.1735","null","null","null","10.0393","2.5509","7.2328","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.3899","null","null","377","377","null","null","0.0261","null","null","null","0.8114","0.03","6.5079","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.0359","null","null","330","330","null","null","0.15","null","null","null","1.7928","0","3.4762","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","16.2122","null","null","35","35","null","null","0.1517","null","null","null","18.7441","11.43","4.7713","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.3309","null","null","11","11","null","null","0.2599","null","null","null","21.0446","18.1781","2.9209","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","4.5081","null","null","224","224","null","null","0.0479","null","null","null","7.2453","0.437","5.0563","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","9.7993","null","null","113","113","null","null","0.6739","null","null","null","11.9114","7.52","5.177","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","13.6641","null","null","64","64","null","null","0.4124","null","null","null","16.3841","10.37","4.7745","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
