playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","0.8418","null","null","352","352","null","null","0.041","null","null","null","1.5261","0","4.1462","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","476","874","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.149","null","null","326","326","null","null","0.0335","null","null","null","1.9564","0","4.1425","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","9.5141","null","null","85","85","null","null","0.5024","null","null","null","11.0924","5.0556","5.2476","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.2446","null","null","413","413","null","null","0.009","null","null","null","0.6039","0","6.1879","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.0922","null","null","331","331","null","null","0.0556","null","null","null","1.8487","-0.0689","5.5924","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","16.6401","null","null","14","14","null","null","0.1896","null","null","null","18.1933","13.7598","2.3731","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","2.0485","null","null","287","287","null","null","0.0338","null","null","null","3.8111","0.36","2.6594","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","8.9318","null","null","98","98","null","null","0.2686","null","null","null","10.5587","6.9827","3.4585","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","476","873","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.0912","null","null","450","450","null","null","0.0895","null","null","null","0.1684","-0.07","8.9124","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","476","476","null","null","0","null","null","null","0","0","null","null",
