playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.6452","null","null","342","115","null","null","0.0526","null","null","null","2.5386","0.32","5.4993","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","532","101","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.9518","null","null","220","65","null","null","0.0821","null","null","null","6.3967","3.065","2.2138","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.4407","null","null","445","116","null","null","0.0489","null","null","null","0.7567","0","6.8938","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","12.8137","null","null","40","5","null","null","0.463","null","null","null","15.2239","10.7017","7.1795","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1362","null","null","377","42","null","null","0.0548","null","null","null","1.9492","0","1.6976","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","8.1832","null","null","123","31","null","null","0.2386","null","null","null","10.4278","4.5947","4.4292","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.2462","null","null","247","54","null","null","0.0194","null","null","null","5.8859","2.67","2.0442","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.5258","null","null","8","8","null","null","0.2734","null","null","null","19.3819","17.3912","4.7862","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","3.5896","null","null","271","27","null","null","0.1495","null","null","null","4.654","1.5017","2.9296","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","532","111","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.22","null","null","18","17","null","null","0.1497","null","null","null","17.1804","13.574","2.3358","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","7.935","null","null","131","34","null","null","0.0776","null","null","null","9.4846","2.9","7.3495","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
