playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.415","null","null","406","406","null","null","0.0334","null","null","null","0.7584","0","5.8265","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1302","null","null","339","339","null","null","0.0782","null","null","null","1.9464","0","2.9286","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.7205","null","null","55","55","null","null","0.9816","null","null","null","12.4064","6.9","5.4602","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.8216","null","null","206","206","null","null","0.109","null","null","null","6.8876","0.23","6.3638","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.5833","null","null","8","8","null","null","0.3628","null","null","null","20.186","16.914","3.8609","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0.8094","null","null","363","363","null","null","0.0358","null","null","null","1.8256","0","3.8299","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","3.7326","null","null","234","234","null","null","0.8475","null","null","null","4.8334","0.7509","4.7439","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","475","475","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.0639","null","null","18","18","null","null","0.4473","null","null","null","18.0801","12.472","3.1312","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","6.426","null","null","161","161","null","null","0.0537","null","null","null","7.7976","4.5043","3.18","null",
