playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.37","null","null","321","107","null","null","0.1271","null","null","null","2.0993","0.27","4.1355","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.8608","null","null","196","56","null","null","0.2263","null","null","null","6.2536","2.8023","3.2912","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.5533","null","null","395","101","null","null","0.0227","null","null","null","1.0947","0","4.6198","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","14.6208","null","null","28","3","null","null","0.5045","null","null","null","15.6173","12.78","6.3332","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1703","null","null","332","34","null","null","0.0947","null","null","null","2.0386","0","1.9147","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","9.1209","null","null","87","24","null","null","0.4649","null","null","null","12.2932","2.1","6.7808","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.9994","null","null","194","42","null","null","0.1666","null","null","null","6.5394","2.57","3.001","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.472","null","null","3","3","null","null","1.0483","null","null","null","22.2969","18.7192","4.9974","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","3.5623","null","null","240","24","null","null","0.265","null","null","null","5.1003","0.7017","3.9602","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","485","61","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.2491","null","null","23","21","null","null","0.8077","null","null","null","18.0908","12.2","4.4024","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","6.4813","null","null","160","42","null","null","0.346","null","null","null","7.0284","5.22","2.7354","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","18.188","null","null","11","1","null","null","1.8705","null","null","null","19.7252","16.19","6.6096","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","12.9838","null","null","38","7","null","null","0.818","null","null","null","14.8653","10.4","4.9192","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","5.6839","null","null","178","13","null","null","0.6354","null","null","null","7.198","4.2","4.5139","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","8.2561","null","null","110","3","null","null","0.322","null","null","null","11.9632","6.68","7.4194","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","2.7743","null","null","264","83","null","null","0.0205","null","null","null","5.5777","0","9.2752","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","6.505","null","null","159","41","null","null","0.1627","null","null","null","8.5361","4.9556","3.0921","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.5288","null","null","398","69","null","null","0.0692","null","null","null","0.9963","0","6.8065","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","9.2535","null","null","85","23","null","null","0.2473","null","null","null","12.974","6.33","5.2402","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","5.142","null","null","189","53","null","null","0.0993","null","null","null","7.0783","2.869","2.2176","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","7.7093","null","null","124","32","null","null","0.5461","null","null","null","8.4216","5.1","2.5308","null",
