playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.2877","null","null","366","123","null","null","0.0514","null","null","null","2.5394","0.29","5.1304","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","533","99","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.7833","null","null","226","63","null","null","0.0143","null","null","null","6.4727","3.1509","1.8886","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.5754","null","null","432","109","null","null","0.0202","null","null","null","1.0118","0","6.1256","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","15.3927","null","null","25","1","null","null","0.9295","null","null","null","16.733","11.9201","6.9278","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.2485","null","null","368","37","null","null","0.2105","null","null","null","2.1311","0","2.6905","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","8.6621","null","null","112","30","null","null","0.0657","null","null","null","10.2322","4.4","4.5976","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.1504","null","null","255","54","null","null","0.0067","null","null","null","5.3879","2.45","2.1518","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.9459","null","null","6","6","null","null","0.4109","null","null","null","20.3492","17.5812","5.1636","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","3.1154","null","null","288","34","null","null","0.1655","null","null","null","4.2651","1.4989","1.7851","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","533","66","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.8835","null","null","18","18","null","null","0.1603","null","null","null","18.3122","13.4","2.6773","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","7.523","null","null","144","39","null","null","0.1078","null","null","null","9.1883","2.9","7.2456","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","14.529","null","null","31","2","null","null","0.2265","null","null","null","15.8233","12.4","6.4087","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","12.158","null","null","44","10","null","null","0.1585","null","null","null","14.1105","9.87","6.3862","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","533","139","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","533","139","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","10.0819","null","null","69","21","null","null","0.2573","null","null","null","12.2688","5.9","6.5947","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","3.194","null","null","283","31","null","null","0.0505","null","null","null","3.9135","0","2.5208","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","8.3568","null","null","122","6","null","null","0.3285","null","null","null","10.6122","6.6856","6.5108","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","533","99","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","533","166","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","533","99","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","533","139","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","6.843","null","null","164","44","null","null","0.1508","null","null","null","8.9809","5.17","3.0464","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","1.0821","null","null","381","59","null","null","0.0553","null","null","null","2.2135","0","4.9737","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","8.0734","null","null","130","32","null","null","0.1429","null","null","null","8.8563","6.4596","4.1579","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","5.569","null","null","207","56","null","null","0.2611","null","null","null","6.2774","3.6065","2.6091","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","533","139","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","8.6285","null","null","115","31","null","null","0.2086","null","null","null","11.0895","5.7","4.8708","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","533","34","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0","null","null","533","139","null","null","0","null","null","null","0","0","null","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","2.1813","null","null","325","78","null","null","0.186","null","null","null","3.0225","0.03","2.2321","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.448","null","null","449","142","null","null","0.0903","null","null","null","1.0664","0","4.073","null",
