playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.3777","null","null","346","117","null","null","0.1438","null","null","null","2.0902","0.26","6.3307","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","514","94","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.4677","null","null","425","107","null","null","0.0069","null","null","null","0.8186","0","5.4683","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","16.1453","null","null","19","1","null","null","0.8341","null","null","null","17.1813","13.95","6.5082","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.3259","null","null","349","37","null","null","0.1335","null","null","null","2.2869","0","2.0077","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","8.8991","null","null","95","26","null","null","0.2147","null","null","null","12.1789","2.2","7.7348","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","4.7882","null","null","231","51","null","null","0.1575","null","null","null","5.6778","2.89","1.9028","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.9287","null","null","7","7","null","null","1.2445","null","null","null","19.9202","17.094","5.2561","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","3.1912","null","null","274","30","null","null","0.3413","null","null","null","4.7262","0.6989","4.3746","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","514","66","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.7002","null","null","8","8","null","null","0.1349","null","null","null","18.7348","15.174","2.6352","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","6.4977","null","null","162","44","null","null","0.0334","null","null","null","7.4147","2.9","4.1777","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","15.3708","null","null","26","2","null","null","0.6264","null","null","null","17.1703","13.77","6.6235","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","10.7748","null","null","58","18","null","null","0.2831","null","null","null","12.4224","8.1","4.9784","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","514","134","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","514","134","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","9.9284","null","null","74","23","null","null","0.6226","null","null","null","12.1791","7.2","5.0864","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","4.0603","null","null","243","22","null","null","0.1157","null","null","null","5.1439","-0.0491","4.4288","null",
