playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.5586","null","null","337","114","null","null","0.0649","null","null","null","3.9472","0.72","5.1081","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","532","101","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","8.0006","null","null","186","65","null","null","0.4221","null","null","null","9.8208","4.765","2.576","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7053","null","null","439","115","null","null","0.0517","null","null","null","1.1293","0.03","7.1641","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","17.6986","null","null","23","5","null","null","2.4865","null","null","null","20.2901","15.31","6.9816","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1362","null","null","399","42","null","null","0.0548","null","null","null","1.9492","0","1.7511","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","9.5574","null","null","139","36","null","null","0.1159","null","null","null","11.6139","5.9689","3.7922","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","5.276","null","null","263","58","null","null","0.1271","null","null","null","6.5859","3.6","2.2875","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.5258","null","null","15","8","null","null","0.2734","null","null","null","19.3819","17.3912","4.8645","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","6.3819","null","null","231","24","null","null","0.2702","null","null","null","7.7814","4.2941","3.348","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","532","111","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.22","null","null","33","17","null","null","0.1497","null","null","null","17.1804","13.574","2.3704","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","12.1414","null","null","94","35","null","null","0.5093","null","null","null","14.2872","7.1064","7.2448","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","19.0302","null","null","12","2","null","null","1.1007","null","null","null","20.6988","17.4194","6.7016","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","14.0403","null","null","58","9","null","null","0.1822","null","null","null","15.5714","11.22","6.1152","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","532","235","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","532","235","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","13.7169","null","null","65","12","null","null","0.2162","null","null","null","16.4268","8.7036","6.1493","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","5.2029","null","null","267","32","null","null","0.7107","null","null","null","6.3243","2.0547","2.6361","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","12.7384","null","null","81","4","null","null","0.2148","null","null","null","16.1797","9.9706","6.8398","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","532","101","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","532","301","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","532","101","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","532","235","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","10.7166","null","null","113","44","null","null","0.0821","null","null","null","12.6321","8.3869","3.0559","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.7301","null","null","436","73","null","null","0.0228","null","null","null","1.5141","0","2.2799","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","13.4416","null","null","68","24","null","null","0.2784","null","null","null","14.6192","10.84","5.0677","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","7.5745","null","null","195","67","null","null","0.137","null","null","null","10.1954","4.666","2.326","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","532","235","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","12.4107","null","null","88","21","null","null","0.4242","null","null","null","13.3701","9.72","5.4097","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","532","35","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0133","null","null","523","136","null","null","0.0028","null","null","null","0.0244","0","6.878","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.544","null","null","308","72","null","null","0.1423","null","null","null","5.6029","0.03","2.8611","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.5708","null","null","451","140","null","null","0.0249","null","null","null","1.3588","0","4.4261","null",
