playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.1207","null","null","256","256","null","null","0.1331","null","null","null","2.7055","1.54","7.2095","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","5.216","null","null","181","181","null","null","0.029","null","null","null","6.6213","1.6309","5.8271","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.2498","null","null","382","382","null","null","0.0273","null","null","null","0.4895","0","5.6829","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.0359","null","null","309","309","null","null","0.15","null","null","null","1.7928","0","3.4649","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","0","null","null","429","874","null","null","0","null","null","null","0","0","null","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","12.7749","null","null","37","37","null","null","0.0611","null","null","null","14.6736","9.63","3.77","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.3309","null","null","6","6","null","null","0.2599","null","null","null","21.0446","18.1781","2.9096","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","2.8658","null","null","235","235","null","null","0.2258","null","null","null","4.4788","0","4.7783","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.9952","null","null","165","165","null","null","0.7777","null","null","null","7.3149","3.9606","5.7844","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","8.9374","null","null","91","91","null","null","0.3152","null","null","null","10.9617","6.47","4.7335","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","429","429","null","null","0","null","null","null","0","0","null","null",
