playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.0775","null","null","323","108","null","null","0.2754","null","null","null","3.1538","0.5","5.1928","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","7.8459","null","null","162","55","null","null","0.1085","null","null","null","9.5777","4.6023","2.8917","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.8019","null","null","393","101","null","null","0.0029","null","null","null","1.5142","0.03","4.8199","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","18.7416","null","null","18","3","null","null","1.5376","null","null","null","19.6178","16.88","5.4704","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.1703","null","null","360","34","null","null","0.0947","null","null","null","2.0386","0","1.9117","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.6292","null","null","103","27","null","null","0.2206","null","null","null","13.9975","3.6083","5.9027","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","6.3521","null","null","203","42","null","null","0.055","null","null","null","8.4261","3.37","3.6913","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.472","null","null","7","3","null","null","1.0483","null","null","null","22.2969","18.7192","4.9927","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","6.0827","null","null","213","23","null","null","0.2315","null","null","null","8.227","3.06","4.2508","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","485","61","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.2491","null","null","39","21","null","null","0.8077","null","null","null","18.0908","12.2","4.3839","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.9673","null","null","115","42","null","null","0.5338","null","null","null","10.9689","8.22","3.9757","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","22.1408","null","null","3","2","null","null","3.7545","null","null","null","23.7252","20.1528","6.0571","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","15.7491","null","null","43","7","null","null","0.5907","null","null","null","17.8358","12.7","4.8389","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","485","300","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","8.8728","null","null","134","13","null","null","0.4501","null","null","null","10.9271","6.6","4.3636","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","13.3942","null","null","69","3","null","null","1.1389","null","null","null","17.7528","11.58","7.1638","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","3.9157","null","null","270","88","null","null","0.1524","null","null","null","8.3266","0","9.0924","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","485","94","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","10.7645","null","null","101","38","null","null","0.1892","null","null","null","12.743","8.3747","2.7545","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.8241","null","null","391","69","null","null","0.0759","null","null","null","1.5439","0.01","7.1724","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","14.3503","null","null","57","21","null","null","0.3973","null","null","null","18.4556","10.43","4.6542","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","8.4412","null","null","149","51","null","null","0.2376","null","null","null","11.3955","4.659","2.8137","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","485","130","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","11.1618","null","null","97","24","null","null","0.0446","null","null","null","11.5806","8.5524","3.143","null",
"4381","null","Garrett Hartley","K","PIT","K","PIT","null","0","null","null","485","30","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0133","null","null","477","125","null","null","0.0033","null","null","null","0.0244","0","7.3682","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","3.3609","null","null","293","68","null","null","0.6597","null","null","null","5.5455","0","3.0575","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0.087","null","null","467","142","null","null","0.0596","null","null","null","0.2072","0","6.927","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","10.714","null","null","102","39","null","null","0.3669","null","null","null","13.5856","7.2283","5.6937","null",
"71247","null","James Casey","TE","DEN","TE","DEN","null","1.0137","null","null","372","63","null","null","0.016","null","null","null","1.6143","0.26","3.4846","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0.4826","null","null","416","78","null","null","0.0689","null","null","null","0.84","0","5.2294","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","8.7844","null","null","139","14","null","null","0.8337","null","null","null","10.0248","6.1552","3.6161","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","11.8029","null","null","86","34","null","null","0.1622","null","null","null","13.6256","7.96","3.3328","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","0","null","null","485","30","null","null","0","null","null","null","0","0","null","null",
