playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","556","173","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.5016","null","null","365","122","null","null","0.0251","null","null","null","3.1131","0.32","4.007","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","556","103","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","4.6396","null","null","239","70","null","null","0.09","null","null","null","5.1602","2.978","2.959","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7604","null","null","421","108","null","null","0.0395","null","null","null","1.1634","0","5.0083","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","15.2088","null","null","31","4","null","null","0.878","null","null","null","17.6794","10.4","8.2108","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.0816","null","null","395","37","null","null","0.0551","null","null","null","2.0558","0","4.0451","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","4.6374","null","null","240","55","null","null","0.0305","null","null","null","5.1061","0","3.2397","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","6.1737","null","null","188","42","null","null","0.2965","null","null","null","7.4716","2.9","3.8349","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","20.0034","null","null","6","6","null","null","0.1932","null","null","null","20.5015","18.406","5.835","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","556","173","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","2.9776","null","null","306","35","null","null","0.0385","null","null","null","4.373","1.19","3.2211","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","556","69","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.8107","null","null","17","17","null","null","0.0638","null","null","null","18.3878","16.8557","2.8044","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","5.5089","null","null","209","58","null","null","0.0934","null","null","null","6.6774","2.4","3.8066","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","556","173","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","15.2487","null","null","30","3","null","null","0.416","null","null","null","16.1241","13.67","6.7398","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","11.4508","null","null","54","11","null","null","0.4315","null","null","null","12.3426","8.935","6.0098","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","556","149","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","556","149","null","null","0","null","null","null","0","0","null","null",
