playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","1.7129","null","null","336","336","null","null","0.2597","null","null","null","2.9159","0.11","3.4134","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","6.7184","null","null","199","199","null","null","0.0634","null","null","null","7.7619","5.3409","2.631","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.923","null","null","373","373","null","null","0.0327","null","null","null","1.8202","0.01","3.3284","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","19.7498","null","null","7","7","null","null","1.9379","null","null","null","21.5702","17.42","5.7354","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.7929","null","null","332","332","null","null","0.3554","null","null","null","2.8492","0","3.6608","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","11.432","null","null","84","84","null","null","0.1708","null","null","null","13.316","7.2371","3.6787","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.676","null","null","8","8","null","null","0.8621","null","null","null","20.7071","18.2796","4.058","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","7.517","null","null","172","172","null","null","0.0517","null","null","null","10.3606","4.0068","4.4437","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.7062","null","null","40","40","null","null","0.192","null","null","null","17.7839","13.3016","2.7706","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","3.4258","null","null","289","289","null","null","0.0871","null","null","null","8.5328","0","7.388","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","14.9118","null","null","54","54","null","null","0.8741","null","null","null","18.5933","10.69","5.3204","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","8.6615","null","null","140","140","null","null","0.3495","null","null","null","9.5157","1.608","4.5032","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","479","873","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","10.2953","null","null","99","99","null","null","0.167","null","null","null","10.486","8.8976","4.6382","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","13.3668","null","null","66","66","null","null","0.3877","null","null","null","16.0077","9.27","5.3801","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","5.6661","null","null","233","233","null","null","0.1546","null","null","null","12.2946","0","10.9847","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","9.7947","null","null","113","113","null","null","0.0789","null","null","null","13.541","7.63","4.0197","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","1.1366","null","null","362","362","null","null","0.0641","null","null","null","1.9086","0.04","3.02","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","12.0044","null","null","81","81","null","null","0.756","null","null","null","12.8332","10.31","3.2008","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","8.094","null","null","156","156","null","null","0.3746","null","null","null","10.5116","3.7589","3.7597","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","479","479","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","12.9538","null","null","72","72","null","null","0.277","null","null","null","16.1665","9.53","4.9747","null",
