playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.358","null","null","316","316","null","null","0.0911","null","null","null","3.9169","0.3","3.4731","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","5.9759","null","null","214","214","null","null","0.2064","null","null","null","7.8213","3.4599","5.3213","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","19.4717","null","null","12","12","null","null","1.1088","null","null","null","21.1528","15.4232","6.1936","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","14.0814","null","null","65","65","null","null","0.0681","null","null","null","16.3897","7.0129","6.5459","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","14.0303","null","null","66","66","null","null","0.043","null","null","null","16.2171","10.22","3.8419","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","19.9674","null","null","10","10","null","null","0.4427","null","null","null","20.8133","17.4752","4.319","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","1.9945","null","null","325","325","null","null","0.1317","null","null","null","2.9971","0.54","3.9485","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","7.0037","null","null","192","192","null","null","0.3907","null","null","null","8.6792","3.6819","4.9736","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","16.7827","null","null","39","39","null","null","0.2877","null","null","null","17.9745","13.0617","4.2324","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","9.6977","null","null","123","123","null","null","0.5505","null","null","null","10.9998","6.6736","3.3498","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","19.1863","null","null","14","14","null","null","1.728","null","null","null","20.8943","16.4794","4.3768","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","12.5603","null","null","87","87","null","null","0.9027","null","null","null","14.1737","9.0488","3.3435","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","12.3053","null","null","89","89","null","null","0.4506","null","null","null","16.9445","9.65","6.9354","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","13.5132","null","null","74","74","null","null","0.8545","null","null","null","17.9013","11.2046","5.9917","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"1980","null","Peyton Hillis","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"1990","null","Eddie Royal","WR","CHI","WR","CHI","null","8.9752","null","null","143","143","null","null","0.1901","null","null","null","10.8713","6.4054","3.7991","null",
"1992","null","Craig Stevens","TE","TEN","TE","TEN","null","0.7475","null","null","386","386","null","null","0.1345","null","null","null","1.5789","0.05","2.8901","null",
"2346","null","Pierre Garcon","WR","WAS","WR","WAS","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"2649","null","Danny Amendola","WR","NE","WR","NE","null","9.8978","null","null","118","118","null","null","0.1604","null","null","null","12.8468","6.236","5.2123","null",
"4231","null","Jed Collins","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"4327","null","Danny Woodhead","RB","SD","RB","SD","null","12.6418","null","null","85","85","null","null","0.0783","null","null","null","14.2269","8.2","7.1398","null",
"4381","null","Garrett Hartley","K","FA","K","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"4383","null","Tim Hightower","RB","NO","RB","NO","null","0.0166","null","null","469","469","null","null","0.005","null","null","null","0.0305","0","8.1387","null",
"4433","null","Marcel Reece","RB","OAK","RB","OAK","null","4.684","null","null","251","251","null","null","0.1979","null","null","null","6.0567","2.509","4.8485","null",
"4487","null","Matthew Slater","WR","NE","WR","NE","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"71217","null","Kenny Britt","WR","STL","WR","STL","null","8.8987","null","null","145","145","null","null","0.4651","null","null","null","10.0516","6.6446","2.5095","null",
"71247","null","James Casey","TE","FA","TE","FA","null","0.0863","null","null","460","460","null","null","0.0441","null","null","null","0.1713","0","6.4977","null",
"71255","null","Chase Coffman","TE","FA","TE","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"71265","null","Jared Cook","TE","STL","TE","STL","null","7.8947","null","null","171","171","null","null","0.4126","null","null","null","9.3159","5.6214","3.8286","null",
"71269","null","Michael Crabtree","WR","OAK","WR","OAK","null","13.5029","null","null","75","75","null","null","0.0964","null","null","null","16.816","9.4499","4.8219","null",
"71309","null","Graham Gano","K","CAR","K","CAR","null","8.5347","null","null","152","152","null","null","0.0681","null","null","null","9.1925","6.4106","3.1656","null",
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","8.9039","null","null","144","144","null","null","0.4028","null","null","null","10.3453","5.294","2.3947","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","1.643","null","null","334","334","null","null","0.0484","null","null","null","2.9282","0.07","2.4469","null",
"71435","null","John Phillips","TE","SD","TE","SD","null","2.2591","null","null","318","318","null","null","0.2465","null","null","null","3.6576","0.01","4.7997","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","1.4606","null","null","344","344","null","null","0.0999","null","null","null","2.9494","0","6.0891","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.3913","null","null","418","418","null","null","0.0321","null","null","null","0.7901","0","5.847","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","0","null","null","475","476","null","null","0","null","null","null","0","0","null","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.5809","null","null","28","28","null","null","0.5679","null","null","null","18.4583","13.8794","4.6926","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","3.6321","null","null","283","283","null","null","0.218","null","null","null","5.671","0.879","7.9487","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","16.8797","null","null","36","36","null","null","0.0567","null","null","null","18.4737","12.59","4.7444","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","475","874","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","475","873","null","null","0","null","null","null","0","0","null","null",
