playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"71345","null","Rashad Jennings","RB","NYG","RB","NYG","null","11.4066","null","null","101","24","null","null","0.366","null","null","null","13.5627","7.67","5.2052","null",
"71431","null","Brandon Pettigrew","TE","DET","TE","DET","null","2.0416","null","null","372","62","null","null","0.2648","null","null","null","2.9972","0.9","5.6264","null",
"71435","null","John Phillips","TE","FA","TE","FA","null","0.7771","null","null","446","76","null","null","0.022","null","null","null","1.1738","0.01","4.9667","null",
"79555","null","Arian Foster","RB","HOU","RB","HOU","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79557","null","Josh Freeman","QB","FA","QB","FA","null","0","null","null","535","67","null","null","0","null","null","null","0","0","null","null",
"79563","null","Shonn Greene","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79589","null","David Johnson","TE","SD","TE","SD","null","3.8738","null","null","317","43","null","null","0.233","null","null","null","6.7489","0.923","16.4452","null",
"79607","null","LeSean McCoy","RB","BUF","RB","BUF","null","13.5561","null","null","62","11","null","null","0.407","null","null","null","16.2173","10.73","6.4499","null",
"79619","null","Knowshon Moreno","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"79625","null","Bear Pascoe","TE","FA","TE","FA","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"79629","null","Cedric Peerman","RB","CIN","RB","CIN","null","0.4633","null","null","480","129","null","null","0.1284","null","null","null","0.8873","0.03","6.5589","null",
"79858","null","Mark Sanchez","QB","PHI","QB","PHI","null","1.465","null","null","399","36","null","null","0.209","null","null","null","2.824","-0.0689","3.6009","null",
"79860","null","Matthew Stafford","QB","DET","QB","DET","null","17.7398","null","null","19","13","null","null","0.1678","null","null","null","19.444","16.3","2.314","null",
"80425","null","Percy Harvin","WR","BUF","WR","BUF","null","10.2904","null","null","125","46","null","null","0.1879","null","null","null","12.7274","6.79","4.3303","null",
"80427","null","Darrius Heyward-Bey","WR","PIT","WR","PIT","null","5.6365","null","null","262","87","null","null","0.1253","null","null","null","6.1426","2.1022","2.4224","null",
"80429","null","Jeremy Maclin","WR","KC","WR","KC","null","12.8708","null","null","74","27","null","null","0.1314","null","null","null","15.1392","9.01","5.2979","null",
"80670","null","Louis Murphy","WR","TB","WR","TB","null","4.5446","null","null","297","99","null","null","0.0967","null","null","null","5.1517","1.7084","4.1034","null",
"80672","null","Hakeem Nicks","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"80674","null","Chris Ogbonnaya","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"81284","null","Chase Daniel","QB","KC","QB","KC","null","0.2027","null","null","511","57","null","null","0.0272","null","null","null","0.4024","-0.024","4.6646","null",
"81288","null","Brandon Gibson","WR","NE","WR","NE","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"81294","null","Brian Hoyer","QB","HOU","QB","HOU","null","10.3811","null","null","119","32","null","null","5.0295","null","null","null","14.8974","1.734","11.1113","null",
"81306","null","Brandon Tate","WR","CIN","WR","CIN","null","1.8579","null","null","378","126","null","null","0.0282","null","null","null","3.5351","0.3549","4.9793","null",
"81831","null","Brian Hartline","WR","CLE","WR","CLE","null","7.4689","null","null","203","65","null","null","0.1157","null","null","null","8.7276","5.5469","3.0818","null",
"81857","null","Kevin Ogletree","WR","FA","WR","FA","null","0","null","null","535","166","null","null","0","null","null","null","0","0","null","null",
"89688","null","Kevin Brock","TE","NO","TE","NO","null","0","null","null","535","99","null","null","0","null","null","null","0","0","null","null",
"89766","null","Brandon Myers","TE","TB","TE","TB","null","2.3491","null","null","360","57","null","null","0.1423","null","null","null","2.855","1.44","5.1115","null",
"89798","null","Antone Smith","RB","FA","RB","FA","null","0","null","null","535","142","null","null","0","null","null","null","0","0","null","null",
"89802","null","Ryan Succop","K","TEN","K","TEN","null","7.6533","null","null","198","25","null","null","0.6778","null","null","null","9.792","5.9684","5.2147","null",
"100001","null","Falcons","DST","ATL","DST","ATL","null","6.7369","null","null","226","18","null","null","0.3584","null","null","null","7.3934","4.6","4.7168","null",
"100002","null","Ravens","DST","BAL","DST","BAL","null","8.4983","null","null","166","4","null","null","0.2956","null","null","null","10.3125","5.1617","6.1213","null",
"100003","null","Bills","DST","BUF","DST","BUF","null","6.274","null","null","240","21","null","null","0.1025","null","null","null","7.4053","5.4","5.1054","null",
