playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"184","null","Donnie Avery","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"206","null","Andre Caldwell","WR","DEN","WR","DEN","null","2.055","null","null","346","117","null","null","0.2018","null","null","null","3.0881","0.49","4.1838","null",
"216","null","Fred Davis","TE","FA","TE","FA","null","0","null","null","514","94","null","null","0","null","null","null","0","0","null","null",
"222","null","Harry Douglas","WR","TEN","WR","TEN","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"230","null","Jerome Felton","RB","BUF","RB","BUF","null","0.7451","null","null","420","106","null","null","0.0198","null","null","null","1.1755","0.14","5.9708","null",
"234","null","Matt Forte","RB","CHI","RB","CHI","null","20.766","null","null","5","1","null","null","1.4208","null","null","null","22.0885","18.95","6.548","null",
"252","null","Chad Henne","QB","JAC","QB","JAC","null","1.3259","null","null","374","37","null","null","0.1335","null","null","null","2.2869","0","2.1242","null",
"262","null","Chris Johnson","RB","ARI","RB","ARI","null","10.7149","null","null","102","28","null","null","0.7502","null","null","null","14.1789","4.0158","6.7647","null",
"284","null","Darren McFadden","RB","DAL","RB","DAL","null","5.8452","null","null","244","53","null","null","0.3216","null","null","null","7.3814","3.49","2.4613","null",
"310","null","Matt Ryan","QB","ATL","QB","ATL","null","18.9287","null","null","13","7","null","null","1.2445","null","null","null","19.9202","17.094","5.3346","null",
"318","null","Jerome Simpson","WR","SF","WR","SF","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"324","null","Jacob Tamme","TE","ATL","TE","ATL","null","5.6643","null","null","251","26","null","null","0.2003","null","null","null","7.7775","3.172","5.2309","null",
"367","null","Matt Flynn","QB","FA","QB","FA","null","0","null","null","514","66","null","null","0","null","null","null","0","0","null","null",
"382","null","Joe Flacco","QB","BAL","QB","BAL","null","17.7002","null","null","16","8","null","null","0.1349","null","null","null","18.7348","15.174","2.7329","null",
"768","null","Steve Johnson","WR","SD","WR","SD","null","10.1376","null","null","105","39","null","null","0.0775","null","null","null","11.5827","6.5398","3.7557","null",
"832","null","Josh Morgan","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"925","null","Jamaal Charles","RB","KC","RB","KC","null","18.9596","null","null","12","3","null","null","2.4963","null","null","null","20.762","17.5668","6.8261","null",
"927","null","Justin Forsett","RB","BAL","RB","BAL","null","13.7406","null","null","66","15","null","null","0.5676","null","null","null","15.3991","10.7","5.102","null",
"929","null","BenJarvus Green-Ellis","RB","FA","RB","FA","null","0","null","null","514","134","null","null","0","null","null","null","0","0","null","null",
"941","null","Ray Rice","RB","FA","RB","FA","null","0","null","null","514","134","null","null","0","null","null","null","0","0","null","null",
"949","null","Jonathan Stewart","RB","CAR","RB","CAR","null","12.012","null","null","88","24","null","null","0.6743","null","null","null","14.3791","9.2835","4.7006","null",
"1030","null","Mario Manningham","WR","FA","WR","FA","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"1032","null","Jordy Nelson","WR","GB","WR","GB","null","0","null","null","514","301","null","null","0","null","null","null","0","0","null","null",
"1060","null","Gary Barnidge","TE","CLE","TE","CLE","null","6.5651","null","null","215","23","null","null","0.4275","null","null","null","8.191","2.4556","4.2314","null",
"1062","null","Martellus Bennett","TE","CHI","TE","CHI","null","12.525","null","null","81","2","null","null","0.1238","null","null","null","14.0278","11.21","6.0513","null",
"1072","null","Jermichael Finley","TE","FA","TE","FA","null","0","null","null","514","94","null","null","0","null","null","null","0","0","null","null",
"1581","null","DeSean Jackson","WR","WAS","WR","WAS","null","9.8329","null","null","115","42","null","null","0.1054","null","null","null","12.2652","0","10.161","null",
"1966","null","John Carlson","TE","FA","TE","FA","null","0","null","null","514","94","null","null","0","null","null","null","0","0","null","null",
